Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal_Price,Price_Date
31,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,9 Apr 10
32,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,8 Apr 10
33,Bhatinda,Bathinda,Wheat,Other,FAQ,1600,1900,1700,7 Sep 10
34,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,7 Apr 10
35,Bhatinda,Bathinda,Wheat,Other,FAQ,1100,1100,1100,6 Apr 10
36,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,3 May 11
37,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,2 May 11
38,Bhatinda,Bathinda,Wheat,Other,FAQ,1120,1125,1120,1 May 11
39,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,30 Apr 15
40,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,30 Apr 13
41,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,30 Apr 12
42,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,30 Apr 11
43,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,29 Apr 16
44,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,29 Apr 15
45,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,29 Apr 14
46,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,29 Apr 13
47,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,29 Apr 11
48,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,28 Apr 17
49,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,28 Apr 14
50,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,28 Apr 11
51,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,28 Apr 10
52,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,27 Apr 17
53,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,27 Apr 15
54,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,27 Apr 13
55,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,27 Apr 12
56,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,27 Apr 11
57,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,27 Apr 10
58,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,26 Apr 17
59,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,26 Apr 16
60,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,26 Apr 13
61,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,26 Apr 12
62,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,26 Apr 11
63,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,26 Apr 10
64,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,25 Apr 17
65,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,25 Apr 16
66,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,25 Apr 14
67,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,25 Apr 12
68,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,25 Apr 11
69,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,24 Apr 17
70,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,24 Apr 15
71,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,24 Apr 14
72,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,24 Apr 13
73,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,24 Apr 12
74,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,24 Apr 11
75,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,23 Apr 17
76,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,23 Apr 15
77,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,23 Apr 14
78,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,23 Apr 13
79,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,23 Apr 12
80,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,23 Apr 11
81,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,23 Apr 10
82,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,22 Apr 17
83,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,22 Apr 16
84,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,22 Apr 13
85,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,22 Apr 12
86,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,22 Apr 11
87,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,21 Apr 17
88,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,21 Apr 16
89,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,21 Apr 13
90,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,21 Apr 12
91,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,21 Apr 11
92,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,21 Apr 10
93,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,20 Apr 17
94,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,20 Apr 16
95,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,20 Apr 13
96,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,20 Apr 11
97,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,19 Apr 17
98,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,19 Apr 16
99,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,19 Apr 13
100,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,19 Apr 11
101,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,18 May 11
102,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,18 Apr 17
103,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,18 Apr 16
104,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,18 Apr 13
105,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,18 Apr 10
106,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,17 May 10
107,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,17 Apr 17
108,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,17 Apr 13
109,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,17 Apr 10
110,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1280,1280,1280,16 Oct 12
111,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,16 Apr 13
112,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,16 Apr 10
113,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,15 Apr 17
114,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,15 Apr 16
115,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,15 Apr 10
116,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,14 Apr 17
117,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,14 Apr 10
118,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,13 May 13
119,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,13 May 11
120,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,13 May 10
121,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,13 Apr 17
122,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,12 May 10
123,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,12 Apr 17
124,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,11 May 12
125,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,11 Apr 17
126,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,10 May 13
127,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,10 May 11
128,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,9 May 14
129,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,9 May 12
130,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,8 May 15
131,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,7 May 15
132,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,7 May 14
133,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,7 May 13
134,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,7 May 10
135,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1525,1525,1525,6 May 16
136,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,6 May 15
137,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,6 May 14
138,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,6 May 13
139,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,6 May 10
140,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,5 May 17
141,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,5 May 15
142,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,5 May 14
143,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,4 May 17
144,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,4 May 13
145,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,4 May 11
146,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,4 May 10
147,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1625,1625,1625,3 May 17
148,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,3 May 14
149,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,3 May 13
150,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,3 May 11
151,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1400,1400,1400,2 May 14
152,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1350,1350,1350,2 May 13
153,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,2 May 12
154,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1120,1120,1120,2 May 11
155,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,2 May 10
156,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,900,1100,1050,2 Aug 11
157,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1450,1450,1450,1 May 15
158,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1285,1285,1285,1 May 12
159,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1170,1170,1170,1 May 11
160,Bhatinda,Bhagta Bhai Ka,Wheat,Other,FAQ,1100,1100,1100,1 May 10
161,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,29 Apr 17
162,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,28 Apr 17
163,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,26 Apr 17
164,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,24 Apr 17
165,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,23 Apr 17
166,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,21 Apr 17
167,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,20 Apr 17
168,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,19 Apr 17
169,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,18 Apr 17
170,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,Other,FAQ,1625,1625,1625,17 Apr 17
171,Bhatinda,Bhagta Bhai Ka (Jalal),Wheat,343,FAQ,1625,1625,1625,15 Apr 17
172,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1450,1450,1450,30 Apr 15
173,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,29 Apr 14
174,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1450,1450,1450,28 Apr 15
175,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,28 Apr 14
176,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1450,1450,1450,27 Apr 15
177,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,27 Apr 14
178,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,26 Apr 17
179,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,26 Apr 16
180,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,25 Apr 17
181,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,24 Apr 14
182,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1450,1450,1450,23 Apr 15
183,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,22 Apr 17
184,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,21 Apr 17
185,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,20 Apr 17
186,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,20 Apr 16
187,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,19 Apr 17
188,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,19 Apr 16
189,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,18 Apr 17
190,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,18 Apr 16
191,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,17 Apr 17
192,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,16 Apr 16
193,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,15 Apr 17
194,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,15 Apr 16
195,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,14 Apr 17
196,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,13 Apr 17
197,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,12 May 14
198,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,11 May 14
199,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,7 May 14
200,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,6 May 14
201,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1625,1625,1625,4 May 17
202,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1525,1525,1525,3 May 16
203,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,3 May 14
204,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,2 May 14
205,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1450,1450,1450,1 May 15
206,Bhatinda,Bhagta Bhai Ka(Kotha Guru Ka),Wheat,Other,FAQ,1400,1400,1400,1 May 14
207,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1450,1400,31 Jan 11
208,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,30 Apr 15
209,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,30 Apr 13
210,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,30 Apr 12
211,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,30 Apr 11
212,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,30 Apr 10
213,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,29 Apr 15
214,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,29 Apr 14
215,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,29 Apr 13
216,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,29 Apr 12
217,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,29 Apr 11
218,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,29 Apr 10
219,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,28 Apr 15
220,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,28 Apr 14
221,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,28 Apr 13
222,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,28 Apr 12
223,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,28 Apr 11
224,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,28 Apr 10
225,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,27 May 11
226,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,27 Apr 17
227,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,27 Apr 15
228,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,27 Apr 14
229,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,27 Apr 13
230,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,27 Apr 12
231,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,27 Apr 11
232,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,27 Apr 10
233,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,26 May 12
234,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,26 May 11
235,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,26 Apr 17
236,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,26 Apr 15
237,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,26 Apr 14
238,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,26 Apr 13
239,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,26 Apr 12
240,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,26 Apr 11
241,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,26 Apr 10
242,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,25 May 11
243,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,25 Apr 17
244,Bhatinda,Bhucho,Wheat,Other,FAQ,1525,1525,1525,25 Apr 16
245,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,25 Apr 15
246,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,25 Apr 14
247,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,25 Apr 13
248,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,25 Apr 12
249,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,25 Apr 11
250,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,25 Apr 10
251,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,24 May 13
252,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,24 May 11
253,Bhatinda,Bhucho,Wheat,Other,FAQ,1000,1100,1000,24 Mar 11
254,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,24 Apr 17
255,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,24 Apr 15
256,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,24 Apr 14
257,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,24 Apr 12
258,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,24 Apr 11
259,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,24 Apr 10
260,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,23 May 11
261,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,23 Apr 17
262,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,23 Apr 15
263,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,23 Apr 14
264,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,23 Apr 13
265,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,23 Apr 12
266,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,23 Apr 11
267,Bhatinda,Bhucho,Wheat,Kanak,FAQ,1100,1100,1100,23 Apr 10
268,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,22 May 13
269,Bhatinda,Bhucho,Wheat,Other,FAQ,1285,1285,1285,22 May 12
270,Bhatinda,Bhucho,Wheat,Other,FAQ,1120,1120,1120,22 May 11
271,Bhatinda,Bhucho,Wheat,Other,FAQ,1625,1625,1625,22 Apr 17
272,Bhatinda,Bhucho,Wheat,Other,FAQ,1450,1450,1450,22 Apr 15
273,Bhatinda,Bhucho,Wheat,Other,FAQ,1400,1400,1400,22 Apr 14
274,Bhatinda,Bhucho,Wheat,Other,FAQ,1350,1350,1350,22 Apr 13
